ID,Date,Day of week,Time of day,Platform,Video or Image?,Views (in thousands),Likes,Comments,Shares,Saves/Bookmarks,Keywords,Hashtags,Mentions,Food Tok,Dorm Tok,Beauty,Original Aud,Male Viewers,Female Viewers,Video Duration (s),Avg View Time (s),New Followers,Aged 18-24 %,25-34 %,35-44 % ,45-54 %,55+ %,New Viewers %,Non Followers %
42,4/9/2024,Tuesday,16:54,TikTok,Video,4.2,189,4,4,2,"where, majors",#wustl #where #majors #college #campus,,no,no,n,y,0.31,0.68,24.8,9.4,0,0.68,0.18,0.05,0.06,0.02,0.14,0.56
43,4/10/2024,Wednesday,15:51,TikTok,Video,12.3,1200,9,48,28,"professor, lecture",#washu #wustl #professor #goodmorning #earlyclass #college #collegelife,Rob Morgan,no,no,n,n,0.2727,0.7172,10.82,6.9,11,0.72,0.19,0.04,0.03,0.02,0.18,0.79
44,4/11/2024,Thursday,11:30,TikTok,Video,44.5,2700,39,314,46,boom or doom,#costcoguys #family #washu #wustl #campusfood #boomordoom #bigjustice,,yes,no,n,y,0.35,0.64,47.4,15.8,51,0.71,0.2,0.04,0.03,0.02,0.31,0.93
45,4/12/2024,Friday,12:20,TikTok,Video,4.0,201,6,10,6,day in the life,#washu #wustl #research #undergraduateresearch #mri,,no,no,n,y,0.27,0.72,60,16.7,3,0.67,0.19,0.05,0.06,0.02,0.16,0.57
46,4/15/2024,Monday,12:49,TikTok,Image,3.7,198,0,7,1,any object in the world,#washu #astronomy #mars #nasa #college #thinkingabout,,no,no,n,n,0.32,0.67,,,1,0.67,0.18,0.06,0.05,0.02,0.14,0.53
47,4/16/2024,Tuesday,11:32,TikTok,Video,3.0,120,0,2,1,glambot,#washu #wustl #college #student #glambot,,no,no,n,n,0.29,0.7,15,6,1,0.66,0.19,0.05,0.06,0.02,0.16,0.52
48,4/17/2024,Wednesday,12:56,TikTok,Video,6.5,492,4,28,12,jojo,#college #major #study #washu #fyp #computerscience #jojo #jojosiwa #karma,,no,no,n,n,0.28,0.71,14.3,6.9,2,0.71,0.18,0.04,0.04,0.02,0.15,0.68
49,4/18/2024,Thursday,12:56,TikTok,Video,18.1,845,14,72,33,dorm tour,#washu #wustl #dormtour #freshman #dorms #bestdorm,,no,yes,n,y,0.23,0.76,189.6,19.5,20,0.7,0.17,0.04,0.06,0.02,0.19,0.87
50,4/19/2024,Friday,11:24,TikTok,Video,4.3,213,2,4,2,tiny mic,#washu #wustl #college #tinymic #intern #howmany #collegelife #humor,,no,no,n,y,0.26,0.73,20.11,8.6,0,0.67,0.19,0.05,0.06,0.02,0.17,0.57
51,4/22/2024,Monday,12:56,TikTok,Video,6.0,311,5,70,16,tiny mic,#washu #wustl #collegelife #college #architecture #tinymic,,no,no,y,y,0.2727,0.7172,66,16.1,8,0.68,0.19,0.05,0.05,0.02,0.18,0.66
52,4/23/2024,Tuesday,11:32,TikTok,Video,275.6,18000,99,567,661,dorm tour,#washu #wustl #dorms #bestdorm #dormtour #collegedorms,,no,yes,n,y,0.32,0.67,210,21.6,326,0.64,0.2,0.06,0.06,0.02,0.52,0.99
53,4/24/2024,Wednesday,11:16,TikTok,Video,5.3,390,7,25,19,spring campus,#washu #wustl #spring #cinematic #campus #college #vibes,,no,no,y,n,0.29,0.7,36,6.9,4,0.63,0.2,0.06,0.07,0.02,0.19,0.66
54,4/25/2024,Thursday,13:50,TikTok,Video,2.7,91,2,1,4,Comp Sci TA,#officehours #lecture #washu #wustl #campus #study,,no,no,n,n,0.297,0.6931,11.4,4.6,2,0.61,0.23,0.07,0.06,0.02,0.24,0.54
55,4/27/2024,Saturday,11:12,TikTok,Video,4.4,146,2,3,1,big and small,#washu #wustl #spring #campus #campusbeauty #studentlife #collegelife #cute,,no,no,y,n,0.3232,0.6667,8.6,5.3,2,0.61,0.22,0.07,0.07,0.02,0.2,0.58
56,5/1/2024,Wednesday,14:27,TikTok,Video,2.6,99,4,5,2,"stop motion, 2028",#WashU #WashU28,,no,no,n,n,0.27,0.72,34.4,3.5,2,0.59,0.23,0.07,0.07,0.02,0.2,0.57
57,5/2/2024,Thursday,13:46,TikTok,Video,5.8,307,13,10,3,static mic,#washu #campus #tourguide #collegetours #college #fyp,,no,no,n,n,0.33,0.66,9.5,4.7,3,0.64,0.21,0.06,0.06,0.02,0.2,0.66
58,5/9/2024,Thursday,12:53,TikTok,Video,1.8,44,3,2,1,commencement,#WashU24 #classof2024 #graduation #commencement #washu,,no,no,n,n,0.3,0.69,9.45,3.8,0,0.54,0.28,0.08,0.06,0.02,0.24,0.59
59,5/9/2024,Thursday,15:00,TikTok,Image,10.5,695,3,9,17,commencement,#WashU24 #classof2024 #longdistance #graduation #washu #friendship,,no,no,n,n,0.26,0.73,,,3,0.7,0.2,0.04,0.04,0.02,0.16,0.76
60,5/10/2024,Friday,17:58,TikTok,Video,7.1,441,4,20,8,commencement,#classof2024 #wustl #washu #graduation #commencement #fyp #grad,,no,no,y,n,0.24,0.75,11.75,6.1,4,0.64,0.23,0.05,0.05,0.02,0.21,0.72
61,5/11/2024,Saturday,15:19,TikTok,Video,15.9,794,4,48,29,commencement,#WashU24 #classof2024 #commencement #grad #washu #longdistance,,no,no,n,n,0.2871,0.703,17,8.2,6,0.67,0.24,0.04,0.03,0.02,0.31,0.87
62,5/12/2024,Sunday,11:18,TikTok,Video,9.9,633,10,11,8,commencement,#WashU24 #classof2024 #commencement #graduation #grad #wholesome #family,,no,no,n,n,0.3069,0.6832,9.38,6,5,0.58,0.29,0.07,0.04,0.02,0.26,0.77
63,5/12/2024,Sunday,13:37,TikTok,Image,6.7,392,1,9,13,commencement,#washu24 #washu #wustl #fyp #college #graduation #commencement,,no,no,n,n,0.31,0.68,,,2,0.62,0.24,0.06,0.05,0.02,0.21,0.71
64,5/13/2024,Monday,11:31,TikTok,Video,37.0,2300,11,41,57,commencement,#WashU24 #commencement #graduation #classof2024 #grad #passthephone #passthephonechallenge,,no,no,n,y,0.38,0.61,45.7,17.4,20,0.71,0.22,0.04,0.02,0.02,0.23,0.94
65,5/13/2024,Monday,14:17,TikTok,Video,9.4,393,4,14,12,commencement,#washu #washu24 #wustl #graduation #graduationcap #gradcap #fyp #college,,no,no,n,n,0.25,0.74,18.8,7.4,6,0.59,0.27,0.06,0.05,0.03,0.23,0.78
66,5/14/2024,Tuesday,15:40,TikTok,Video,"2,400.0",322900,1100,13100,8100,commencement,#jennifercoolidge #WashU #WashU24 #commencement #graduation #classof2024 #legallyblonde,Jennifer Cooliidge,no,no,n,n,0.35,0.64,11.05,6.7,1491,0.42,0.39,0.11,0.05,0.03,0.79,1
67,5/15/2024,Wednesday,14:11,TikTok,Video,16.2,1000,7,53,105,commencement,#WashU #WashU24 #classof2024 #advice #motivation #wisdom #wordsofwisdom,Class of 1974,no,no,n,y,0.45,0.54,54.8,12.6,13,0.52,0.32,0.07,0.05,0.04,0.31,0.9
68,5/16/2024,Thursday,12:00,TikTok,Video,6.9,361,4,18,14,commencement,#washu24 #washu #wustl #graduation #grad #graduate #college #commencement #fyp,,no,no,n,n,0.33,0.66,10.1,5.3,5,0.53,0.28,0.09,0.06,0.04,0.29,0.76
69,5/16/2024,Thursday,15:37,TikTok,Video,650.2,85100,989,7700,5900,commencement,#WashU24 #JenniferCoolidge #commencement #graduation #speech,Jennifer Coolidge,no,no,n,y,0.31,0.69,73.8,16.9,1075,0.21,0.4,0.22,0.11,0.06,0.64,0.99
70,5/17/2024,Friday,11:34,TikTok,Video,2.3,154,1,1,4,commencement,#WashU24,,no,no,n,y,0.31,0.68,19.71,5.4,1,0.52,0.27,0.09,0.07,0.05,0.32,0.62
71,5/17/2024,Friday,14:06,TikTok,Video,5.4,247,0,2,5,commencement,#studentsection #commencement #2024grad #classof2024 #washu #hype,,no,no,n,n,0.48,0.51,13.57,4.6,5,0.59,0.24,0.07,0.06,0.04,0.47,0.79
72,5/20/2024,Monday,12:13,TikTok,Video,3.0,210,0,4,2,commencement,#WashU #WashU24 #classof2024 #commencement #graduation,,no,no,n,n,0.35,0.63,20.4,5,3,0.55,0.25,0.07,0.08,0.05,0.28,0.62
73,5/20/2024,Monday,14:31,TikTok,Video,1.7,21,0,2,0,commencement,#WashU24 #iamnowlicensed #WashU #graduate #commencement #classof2024,,no,no,n,n,0.36,0.63,5,3.4,1,0.62,0.23,0.07,0.04,0.04,0.45,0.84
74,5/30/2024,Sunday,15:47,TikTok,Video,3.8,262,2,28,2,"cicada, campus, pretty",#WashU #cicada #cicadas #insects #stl #soundon,,no,no,y,y,0.3069,0.6832,23.57,3.8,3,0.66,0.2,0.06,0.05,0.03,0.13,0.63
